GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS416874620	2018-08-06 20:11:44	33215	species	Canada Warbler	Cardellina canadensis			3					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Kate's Grade	L3742290	P	46.1849780	-87.5683300	2016-06-11	10:15:00	obsr209179	S30609575	Traveling	P22	EBIRD	87	8.047		1	1		0	1	0		<br />Submitted from eBird for iOS, version 0.9.1 Build 4		
URN:CornellLabOfOrnithology:EBIRD:OBS409680988	2018-08-06 20:11:32	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Kate's Grade	L1110707	H	46.1851119	-87.5687599	2016-06-04	10:00:00	obsr215388	S30069481	Traveling	P22	EBIRD	199	31.381		2	0	G1797782	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS409679028	2018-08-06 20:11:32	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			US-MI-Forsyth-County Hwy-438 - 46.1922x-87.4888	L4670772	P	46.1921630	-87.4888280	2016-06-04	10:00:00	obsr408665	S30069364	Traveling	P22	EBIRD	199	31.381		2	0	G1797782	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS411934478	2018-08-06 20:11:50	33215	species	Canada Warbler	Cardellina canadensis			2					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Co Rd. Nr	L2279183	P	46.4769756	-87.4244678	2016-06-14	11:05:00	obsr215388	S30227159	Traveling	P22	EBIRD	82	3.380		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS425884853	2020-10-18 14:08:10	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2016-08-26	10:47:00	obsr344473	S31286354	Traveling	P22	EBIRD	94	0.402		2	1	G1899826	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS425545942	2020-10-18 14:08:10	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2016-08-26	10:47:00	obsr301832	S31257478	Traveling	P22	EBIRD	94	0.402		2	1	G1899826	0	1	0		<br />Submitted from eBird for iOS, version 1.2.6 Build 75		
URN:CornellLabOfOrnithology:EBIRD:OBS425549994	2018-08-06 20:13:00	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2016-08-26	11:43:00	obsr209179	S31257760	Traveling	P22	EBIRD	34	0.966		1	1		0	1	0		<br />Submitted from eBird for iOS, version 0.9.1 Build 4		
URN:CornellLabOfOrnithology:EBIRD:OBS428363865	2018-08-06 20:13:14	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2016-09-07	14:20:00	obsr209179	S31473153	Traveling	P22	EBIRD	170	3.219		4	1	G1915134	0	1	0		<br />Submitted from eBird Android 1.2.5		
URN:CornellLabOfOrnithology:EBIRD:OBS428459919	2018-08-06 20:13:14	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888959	H	46.5857658	-87.3825073	2016-09-07	14:20:00	obsr146419	S31479750	Traveling	P22	EBIRD	170	3.219		4	1	G1915134	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS504589339	2021-03-19 09:49:50.883448	33215	species	Canada Warbler	Cardellina canadensis			1					United States	US	Michigan	US-MI	Marquette	US-MI-103		12			Presque Isle Park	L888422	P	46.5839470	-87.3862730	2017-05-24	15:30:00	obsr408665	S37145088	Traveling	P22	EBIRD	245	1.609		1	1		1	1	0				
