GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS325218742	2021-04-01 07:44:57.540139	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_1655	23			Barry SGA--Otis Lake	L782383	H	42.6075632	-85.4113581	2015-06-05	06:00:00	obsr421728	S23791577	Traveling	P22	EBIRD	180	1.207		7	1		0	1	0		Hiked trail at Otis Sanctuary during Cerulean Warbler Festival. Also birded from corner of Goodwill and Hubble Roads.	Originally heard 2 calling from different parts of the prairie. Saw 1. Was seen by the entire group through scope.	
URN:CornellLabOfOrnithology:EBIRD:OBS325522905	2015-06-07 13:56:48	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Cloverdale and Broadway Rds. grassland	L1138577	H	42.5352477	-85.2743340	2015-06-07	07:50:00	obsr281935	S23811027	Stationary	P21	EBIRD	10			2	1	G1306183	0	1	0			Heard only.	
URN:CornellLabOfOrnithology:EBIRD:OBS325258060	2018-08-06 20:08:42	32181	species	Henslow's Sparrow	Centronyx henslowii			1	H 	C2	H 		United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-05	06:15:00	obsr359041	S23794265	Traveling	P22	EBIRD	120	1.609		12	1		0	1	0		Cerulean Festival Field Trip		
URN:CornellLabOfOrnithology:EBIRD:OBS328836163	2015-06-25 17:55:29	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site F12	L3750318	P	42.5342040	-85.2842585	2015-06-24	06:18:00	obsr622633	S24051748	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS324895458	2015-07-29 09:06:50	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Manning Lake Rd. MSU research field	L3696392	H	42.4476548	-85.3088379	2015-06-03	21:28:00	obsr552469	S23768477	Traveling	P22	EBIRD	20	0.402		2	1	G1302607	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS327402372	2015-06-17 13:05:42	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site F10	L3728586	P	42.5350494	-85.2805823	2015-06-17	06:19:00	obsr622633	S23944826	Stationary	P21	EBIRD	15			3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS324815766	2015-06-03 14:29:39	32181	species	Henslow's Sparrow	Centronyx henslowii			2					United States	US	Michigan	US-MI	Barry	US-MI-015		23			Pierce Cedar Creek 2015 Grassland Bird Research Site F22	L3694183	P	42.5323672	-85.2818736	2015-06-03	06:02:00	obsr622633	S23762595	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS325749555	2021-03-24 15:28:30.175918	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-06	11:45:00	obsr435901	S23826111	Traveling	P22	EBIRD	90	0.805		4	1	G1306980	0	1	0		Gail Shetler, Karen Harbach, Janine Hawkinson, sunny	Seen at 1pm for approx 20 minutes, by group of 7, pictures taken	
URN:CornellLabOfOrnithology:EBIRD:OBS325706716	2021-03-24 15:28:30.175918	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-06	11:45:00	obsr613372	S23823224	Traveling	P22	EBIRD	90	0.805		4	1	G1306980	0	1	0			Seen at 1pm for approx 20 minutes, by group of 7, pictures taken	
URN:CornellLabOfOrnithology:EBIRD:OBS325301943	2021-03-19 08:44:42.182877	32181	species	Henslow's Sparrow	Centronyx henslowii			1					United States	US	Michigan	US-MI	Barry	US-MI-015	US-MI_3579	23			Otis Sanctuary	L492835	H	42.6020306	-85.3864610	2015-06-06	05:44:00	obsr448234	S23797246	Traveling	P22	EBIRD	90	0.402		1	1		0	1	0			Lifer. Very cooperative bird!	
