GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS197488830	2014-11-07 14:15:17	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-05-17	13:30:00	obsr139625	S14162846	Traveling	P22	EBIRD	120	3.219		9	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS198168730	2021-08-06 10:51:57.379073	7149	species	Least Bittern	Ixobrychus exilis			2					United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-05-21	13:15:00	obsr350280	S14203530	Traveling	P22	EBIRD	95	3.219		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS197257492	2021-03-31 03:28:38.49621	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-05-17	12:30:00	obsr315544	S14149855	Traveling	P22	EBIRD	210	3.219		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS197349397	2018-09-30 20:50:32	7149	species	Least Bittern	Ixobrychus exilis			3					United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-05-18	09:46:00	obsr146292	S14155269	Traveling	P22	EBIRD	60	1.609		12	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS206309829	2021-08-06 10:41:21.594316	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-06-20	16:30:00	obsr187813	S14822705	Traveling	P22	EBIRD	60	6.437		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS202662858	2021-03-31 03:28:38.49621	7149	species	Least Bittern	Ixobrychus exilis			2					United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-06-23	17:58:00	obsr222247	S14511748	Traveling	P22	EBIRD	147	3.701		1	1		0	1	0		<b>Route:</b> Driving traveling count along Kitchen Rd to the observation platform.  Most of the count is stationary from the platform.  Also includes a walk out along the dike east of the platform to the "beach" and a 1/3 mile walk through waist-high weeds on the dike to the north of Kitchen Rd.  The path leading south from Kitchen, running beyond the platform, was closed.  After birding the Kitchen Rd area, I moved north a road and car-birded the final portion of Erickson Rd.  I walked out through some marshy terrain to take a peek at Saginaw Bay (Lake Huron).  Then I walked south along the edges of the ponds for a quarter mile or so, trying (mostly unsuccessfully) to see in.--<b>Non-bird:</b> 2 White-tailed Deer, 1 Eastern Cottontail, 1+ Northern Leopard Frog.----<a href="https://www.flickr.com/photos/stinkenroboter/43056936465/in/dateposted-public/" title="Nayanquing Point SWA"><img src="https://farm2.staticflickr.com/1815/43056936465_589385cfce_z.jpg" alt="Nayanquing Point SWA" /></a>	Observed in flight and climbing through reeds, heard calling.  Possibly one more.	
URN:CornellLabOfOrnithology:EBIRD:OBS201952739	2021-08-06 10:51:57.379073	7149	species	Least Bittern	Ixobrychus exilis			3				Unknown Sex, Adult (3)	United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-06-19	15:45:00	obsr214466	S14457905	Traveling	P22	EBIRD	20	0.805		2	1	G645960	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS201925986	2018-09-30 20:50:32	7149	species	Least Bittern	Ixobrychus exilis			2					United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-06-19	15:45:00	obsr335525	S14456202	Stationary	P21	EBIRD	30			2	1		0	1	0		<br />Submitted from BirdLog NA for iOS, version 1.5.2		
URN:CornellLabOfOrnithology:EBIRD:OBS201965860	2021-08-06 10:51:57.379073	7149	species	Least Bittern	Ixobrychus exilis			3				Unknown Sex, Adult (3)	United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-06-19	15:45:00	obsr269659	S14458930	Traveling	P22	EBIRD	20	0.805		2	1	G645960	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS200769676	2018-08-05 13:12:02	7149	species	Least Bittern	Ixobrychus exilis			1					United States	US	Michigan	US-MI	Bay	US-MI-017	US-MI_1628				Nayanquing Point SWA	L577756	H	43.7742237	-83.9376283	2013-06-08		obsr111233	S14372092	Incidental	P20	EBIRD					1		0	1	0				
