GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS399775585	2021-03-26 03:04:12.593349	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-05-08	13:24:00	obsr19409	S29489470	Stationary	P21	EBIRD	22			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS408779989	2016-05-31 10:41:00	31855	species	Grasshopper Sparrow	Ammodramus savannarum			6					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Creekside Park	L4658887	P	42.8472086	-85.6389293	2016-05-18	09:45:00	obsr761723	S30007613	Stationary	P21	EBIRD	60			19	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS408781730	2016-05-31 10:48:10	31855	species	Grasshopper Sparrow	Ammodramus savannarum			2					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Creekside Park	L4658887	P	42.8472086	-85.6389293	2016-05-25	09:45:00	obsr761723	S30007729	Stationary	P21	EBIRD	60			19	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS408026744	2021-03-19 09:06:19.102151	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-05-27	06:20:00	obsr264117	S29960162	Traveling	P22	EBIRD	120	1.609		2	1		0	1	0			On the hill south of 52nd st end	
URN:CornellLabOfOrnithology:EBIRD:OBS402998006	2021-04-01 07:52:31.80637	31855	species	Grasshopper Sparrow	Ammodramus savannarum			4					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-05-14	09:03:00	obsr327152	S29665694	Traveling	P22	EBIRD	16	3.219		3	1	G1756185	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS402997984	2021-04-01 07:52:31.80637	31855	species	Grasshopper Sparrow	Ammodramus savannarum			4					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-05-14	09:03:00	obsr310390	S29665693	Traveling	P22	EBIRD	16	3.219		3	1	G1756185	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS397144973	2021-03-26 03:04:12.593349	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-05-01	14:48:00	obsr107741	S29333357	Traveling	P22	EBIRD	29	2.092		2	1		0	1	0			FOY and earlier than they arrive in some years. Singing. Not seen.	
URN:CornellLabOfOrnithology:EBIRD:OBS402919310	2021-04-01 07:52:31.80637	31855	species	Grasshopper Sparrow	Ammodramus savannarum			4					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-05-14	09:03:00	obsr228203	S29661333	Traveling	P22	EBIRD	16	3.219		3	1	G1756185	0	1	0		Kent County big day stop #4.<br />Submitted from eBird for iOS, version 1.2.0 Build 62	FOY.  52nd street end, mostly.  Kent county big day #79.	
URN:CornellLabOfOrnithology:EBIRD:OBS406509076	2021-03-26 03:04:12.593349	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-05-23	17:48:00	obsr19409	S29866086	Stationary	P21	EBIRD	12			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS405644047	2017-05-30 05:34:51	31855	species	Grasshopper Sparrow	Ammodramus savannarum			1					United States	US	Michigan	US-MI	Kent	US-MI-081		23			Gerald R. Ford Airport (s. Kraft Ave. access)	L888511	H	42.8763415	-85.5267137	2016-05-21	13:57:00	obsr457643	S29816838	Stationary	P21	EBIRD	35			1	1		0	1	0		<br />Submitted from eBird for iOS, version 1.2.0 Build 62		
URN:CornellLabOfOrnithology:EBIRD:OBS411959454	2021-03-19 09:06:19.102151	31855	species	Grasshopper Sparrow	Ammodramus savannarum			3					United States	US	Michigan	US-MI	Kent	US-MI-081		23			60th GRR	L2911558	P	42.8575319	-85.5147457	2016-06-10	06:15:00	obsr264117	S30228960	Traveling	P22	EBIRD	300	1.609		1	1	G1813550	0	1	0				
